,t,q,w,dw,u,I
0,23739261,3.89759,13.76748,454.20050,85,0.10970
0,23742309,3.94019,13.97533,68.19428,84,0.09530
0,23745305,3.98278,14.21782,80.93531,83,0.08580
0,23748309,4.02538,14.18940,-9.46590,83,0.07580
0,23751317,4.06265,12.38272,-600.22705,82,0.07360
0,23754405,4.10525,13.79415,457.07095,81,0.07310
0,23757445,4.14784,14.01211,71.69717,80,0.07990
0,23760445,4.19044,14.19894,62.27620,80,0.08520
0,23763445,4.23304,14.19894,0.00000,79,0.09220
0,23766393,4.27563,14.44923,84.90289,78,0.07110
0,23769393,4.31823,14.19894,-83.43124,77,0.07510
0,23772437,4.36083,14.00735,-63.00334,76,0.07910
0,23775481,4.39810,12.23235,-582.53821,76,0.08630
0,23778573,4.44070,13.77646,499.38821,75,0.08280
0,23781617,4.48329,13.99354,71.31441,74,0.07920
0,23784613,4.52057,12.44074,-518.29205,73,0.07060
0,23787701,4.56316,13.79415,438.28128,72,0.05420
0,23790741,4.60576,14.01195,71.64541,71,0.04720
0,23793745,4.64836,14.19421,60.73103,71,0.04490
0,23796751,4.68563,12.39507,-598.31628,70,0.03660
0,23799841,4.72822,13.78984,451.52820,69,0.03610
0,23802881,4.76550,12.24843,-506.54242,68,0.03890
0,23805969,4.80809,13.79431,500.60675,67,0.03840
0,23809009,4.85069,14.01195,71.59459,66,0.03290
0,23812009,4.88796,12.42399,-529.32037,65,0.02740
0,23815105,4.93056,13.76756,434.24792,64,0.02440
0,23818149,4.96783,12.24843,-499.21890,63,0.02260
0,23821233,5.01043,13.79877,502.21658,63,0.02400
0,23824281,5.04770,12.23235,-514.08679,62,0.02150
0,23827369,5.08497,12.06994,-52.59446,61,0.01830
0,23830413,5.12757,13.98895,630.21527,60,0.01800
0,23833457,5.16484,12.24843,-571.97302,59,0.01550
0,23836549,5.20211,12.05043,-64.01674,58,0.01520
0,23839593,5.23938,12.24457,63.77682,57,0.01520
0,23842601,5.27666,12.39095,48.66497,56,0.01080
0,23845601,5.31393,12.42399,11.01430,55,0.01040
0,23848601,5.35120,12.42399,0.00000,54,0.01140
0,23851541,5.38315,10.86637,-529.80243,53,0.02130
0,23854629,5.42574,13.79431,948.16473,52,0.02290
0,23857669,5.45769,10.50908,-1080.66541,51,0.02300
0,23860805,5.49496,11.88899,440.16132,50,0.02160
0,23863853,5.53223,12.22433,109.98345,49,0.02030
0,23866893,5.56418,10.50908,-564.22540,48,0.01960
0,23869977,5.60145,12.08560,511.19107,47,0.00660
0,23873021,5.63873,12.24441,52.17200,46,0.00180
0,23876025,5.67067,10.63487,-535.79956,45,-0.00420
0,23879157,5.70262,10.20690,-136.72887,44,-0.00380
0,23882293,5.73989,11.88899,536.54999,44,-0.00300
0,23885381,5.77184,10.33569,-502.52341,43,0.00360
0,23888461,5.80379,10.37260,11.98471,42,0.00790
0,23891461,5.83574,10.64920,92.20091,41,0.00740
0,23894461,5.86768,10.64920,0.00000,40,-0.00350
0,23897449,5.89431,8.92168,-578.92859,39,-0.00910
0,23900541,5.93158,12.04653,1009.97162,38,-0.00660
0,23903665,5.95820,8.51671,-1129.18091,37,-0.00110
0,23906797,5.99015,10.20023,537.52246,36,0.00630
0,23909837,6.02210,10.50908,101.59486,35,-0.00370
0,23912925,6.05404,10.34573,-52.89928,34,-0.01020
0,23916017,6.08067,8.61021,-561.29346,33,0.00180
0,23919061,6.10729,8.74327,43.69707,32,-0.00860
0,23922065,6.13924,10.64550,633.86481,31,-0.01390
0,23925157,6.16586,8.61021,-658.24255,31,-0.00370
0,23928249,6.19248,8.60464,-1.79885,30,-0.00100
0,23931249,6.21910,8.87426,89.87077,29,-0.01120
0,23934245,6.24573,8.88626,4.00792,28,-0.01090
0,23937197,6.26703,7.21491,-566.17773,27,-0.00290
0,23940285,6.29365,8.62136,455.45840,26,-0.01040
0,23943325,6.32027,8.75461,43.81696,25,-0.00950
0,23946325,6.34157,7.10184,-551.10846,25,-0.00310
0,23949417,6.36287,6.89492,-66.98489,24,-0.01170
0,23952461,6.38949,8.73737,604.67743,23,-0.00730
0,23955505,6.41079,6.99685,-571.78827,22,-0.00920
0,23958593,6.43741,8.62136,526.07336,21,-0.00760
0,23961633,6.45871,7.00606,-531.35138,21,-0.00910
0,23964721,6.48001,6.89715,-35.26634,20,-0.00970
0,23967765,6.50131,6.99685,32.75170,19,-0.00370
0,23970765,6.51728,5.32452,-557.44220,18,-0.00970
0,23973853,6.53858,6.89715,509.27151,17,-0.00490
0,23976901,6.55988,6.99194,31.11918,17,-0.01000
0,23979901,6.57585,5.32113,-556.56488,16,-0.00450
0,23982985,6.59715,6.90386,513.03925,15,-0.00930
0,23986033,6.61312,5.24239,-545.27997,15,-0.00250
0,23989129,6.62910,5.16610,-24.67540,14,-0.00980
0,23992177,6.65040,6.98308,595.73407,13,-0.00700
0,23995225,6.66104,3.49154,-1144.76794,13,-0.00580
0,23998357,6.68234,6.80026,1056.42261,12,-0.00730
0,24001445,6.69299,3.44858,-1085.38916,11,-0.00300
0,24004585,6.70897,5.08712,521.83038,11,-0.00630
0,24007633,6.72494,5.24083,50.42803,10,-0.00400
0,24010633,6.74091,5.32452,27.89799,10,-0.00440
0,24013637,6.75156,3.54501,-592.38165,9,-0.00530
0,24016685,6.76754,5.24067,556.32025,8,-0.00420
0,24019689,6.77819,3.54501,-564.46875,8,-0.00330
0,24022737,6.78883,3.49383,-16.78950,7,-0.00440
0,24025741,6.79948,3.54501,17.03542,7,-0.00360
0,24028701,6.81013,3.59770,17.80278,6,-0.00200
0,24031661,6.82078,3.59649,-0.41033,6,-0.00340
0,24034621,6.83143,3.59892,0.82153,5,-0.00270
0,24037537,6.84208,3.65199,18.19969,5,-0.00540
0,24040497,6.85273,3.59770,-18.33995,5,-0.00160
0,24043505,6.85805,1.77007,-607.59192,4,-0.00250
0,24046557,6.86870,3.48925,563.29840,4,0.00060
0,24049513,6.87403,1.80137,-571.00391,3,-0.00190
